"####Summary of the 227 genes with convergent accelerated evolution in the three vocal-learning bird groups under two evolutionary hypotheses, with their expressions profiles in the various regions and overlapping target species specific amino acid substitution site (TAAS) genes. In the acceleration columns, dN/dS(FG)= dN/dS of the foreground branches; dN/dS(BG)= dN/dS of the background branches; H0= null hypothesis; and, H1= alternative hypothesis. Area X = area X of the striatum; HVC = letter based name; LMAN = lateral magnocellular nucleus of the anterior neostraitum; RA = robust nucleus of the arcopallium; and, + = expression of gene. In # TAAS sites column, numbers are present of counts of TAAS sites in the gene."												
Gene symbol	# gain branches	dN/dS(FG)	dN/dS(BG)	-2ln(LH0/LH1)	p-value	adj.p-value	Expression in songbird brain	Expression in song nuclei	Differential expression among song nuclei	Specialized in song nuclei compared to surrounding areas	Expression related to singing	# TAAS sites
ABCC10	Two	0.415	0.24	10.79	1.02.E-03	4.25.E-02						
ACSBG2	Three	0.443	0.123	19.28	1.13.E-05	1.69.E-03	+	+	Area X down	HVC	+	
ACSS2	Three	0.137	0.064	11.25	7.95.E-04	4.25.E-02	+	+				
ACTR3	Two	0.036	0	17.42	2.99.E-05	2.43.E-03	+	+	Area X up		+	
ADCK3	Two	0.177	0.052	11.14	8.43.E-04	3.66.E-02						
ADRA2C	Three	0.11	0.022	12.76	3.54.E-04	2.51.E-02	+	+	Area X up		+	
ALG6	Two	0.287	0.072	16.39	5.15.E-05	5.00.E-03						
ANKRD13A	Two	0.132	0.046	12.62	3.82.E-04	2.03.E-02	+	+	Area X down		+	
ANKRD28	Two	0.427	0.058	115.58	5.87.E-27	4.42.E-24	+	+	Area X up			
APOB	Three	0.439	0.294	18.72	1.51.E-05	1.70.E-03						
APOVLDLII	Three	2.259	0.542	13.27	2.70.E-04	1.67.E-02						
ARHGAP10	Two	0.751	0.058	67.39	2.23.E-16	8.40.E-14	+					
ARHGAP22	Three	0.292	0.121	12.93	3.23.E-04	2.32.E-02	+	+	Area X down			
ARIH1	Two	0.345	0.002	137.71	8.44.E-32	7.42.E-29	+	+	Area X up			
ARL2BP	Three	1.298	0.092	21.64	3.29.E-06	5.94.E-04	+	+				
ARMC9	Three	0.726	0.262	15.37	8.83.E-05	8.73.E-03	+	+	Area X up			
ASF1A	Two	0.311	0.008	39.49	3.30.E-10	6.95.E-08	+	+			+	
ATG3	Two	0.386	0.058	37.68	8.35.E-10	1.57.E-07	+	+				
ATP6V0A2	Three	0.28	0.109	17.64	2.67.E-05	3.50.E-03	+	+			+	
ATP6V0A4	Three	0.367	0.122	35	3.30.E-09	8.37.E-07						
BBS2	Three	0.178	0.08	16.34	5.30.E-05	6.18.E-03	+	+	Area X up			
