####Expressed areas of accelerated element-associated genes in the brain. Area X = area X of the striatum; HVC = letter based name; RA = robust nucleus of the arcopallium; and, + = expression of gene.																	
The lowest and highest p-values (4th and 5th columns) are from the phyloP results of comparing each VL species to 9 non-VL species.																	
Chromosome positions and ENSMEBL ID are according to the zebra finch genome																	
Chromosome	Window size	Start	End	Lowest Pval	Highest Pval	Associated Gene	Distance to gene	Location	Gene Description	Gene Symbol	In songbird brain	In song nuclei	Singing regulated	RA specialized birds and human LMC	Area X specialized	HVC specialized	Differential between song nuclei
1	100bp	41476669	41476769	0.00096	0.04577	ENSTGUG00000011178	0	CDS,intron	Multidrug resistance-associated protein 4	ABCC4							
1	100bp	117983048	117983145	0.00056	0.03552	ENSTGUG00000013627	0	intron	Target of Nesh-SH3	ABI3BP							
6	50bp	26602504	26602554	0.00018	0.03115	ENSTGUG00000010742	0	intron	Long-chain-fatty-acid--CoA ligase 5	ACSL5							
Z	50bp	52151429	52151476	0.00003	0.03855	ENSTGUG00000003066	5142	3'flanking	Cytosolic carboxypeptidase 1	AGTPBP1	+	+					+
3	50bp	32406193	32406243	0.00009	0.04524	ENSTGUG00000008212	2510	3'flanking	RAC-gamma serine/threonine-protein kinase	AKT3	+	+					+
2	100bp	73951124	73951223	0.00065	0.04733	ENSTGUG00000006463	2386	3'flanking	Succinate-semialdehyde dehydrogenase, mitochondrial	Aldh5a1	+	+					
4A	100bp	18488994	18489094	0.00017	0.04879	ENSTGUG00000006168	0	CDS	UDP-N-acetylglucosamine transferase subunit ALG13 homolog	ALG13	+	+					
4	50bp	2992727	2992768	0.00009	0.04368	ENSTGUG00000001807	4865	3'flanking	Ankyrin-2	ANK2	+	+					
6	50bp	5796863	5796913	0.00015	0.04719	ENSTGUG00000005344	0	intron	Ankyrin-3	ANK3	+	+	+				+
1	100bp	83307738	83307838	0.00004	0.02158	ENSTGUG00000012948	0	CDS,intron	Ankyrin repeat domain-containing protein 42	Ankrd42							
22	100bp	425285	425362	0.00002	0.03611	ENSTGUG00000003929	0	CDS,intron	Anthrax toxin receptor 1	Antxr1							
5	50bp	57583915	57583973	0.00016	0.04587	ENSTGUG00000013032	0	intron	AT-rich interactive domain-containing protein 4A	ARID4A	+	+	+				+
19	50bp	6222412	6222462	0.00302	0.01058	ENSTGUG00000018246	4272	5'flanking	Argininosuccinate lyase	ASL	+	+					+
2	50bp	112795677	112795727	0.02453	0.03292	ENSTGUG00000010779	0	CDS	Putative Polycomb group protein ASXL3	ASXL3	+	+			+		+
2	50bp	112796733	112796793	0.0015	0.02811	ENSTGUG00000010779	0	CDS,intron	Putative Polycomb group protein ASXL3	ASXL3	+	+			+		+
8	50bp	25589470	25589530	0.00001	0.01262	ENSTGUG00000009870	0	CDS	Cysteine protease ATG4C	ATG4C	+	+	+				
13	50bp	11683257	11683304	0.00812	0.04562	ENSTGUG00000001419	0	intron	Probable phospholipid-transporting ATPase VB	ATP10B							
12	50bp	3048585	3048634	0.00772	0.03543	ENSTGUG00000004296	2946	5'flanking	Plasma membrane calcium-transporting ATPase 2	ATP2B2	+	+					+
19	50bp	1655082	1655132	0.02416	0.03261	ENSTGUG00000003492	0	intron	Autism susceptibility gene 2 protein	AUTS2	+	+				+	
19	50bp	1942824	1942874	0.00132	0.03255	ENSTGUG00000003492	0	intron	Autism susceptibility gene 2 protein	AUTS2	+	+				+	
17	50bp	9514195	9514241	0.00019	0.03601	ENSTGUG00000006504	186	5'flanking	Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC402377	B3GALT4							
24	100bp	4162103	4162268	0.00027	0.00957	ENSTGUG00000000574	0	intron	Homeobox protein BarH-like 2	Barx2	+	+	+		+		+
8	50bp	12929708	12929779	0.00009	0.02171	ENSTGUG00000006455	3064	5'flanking	B-cell lymphoma/leukemia 10	BCL10	+	+					
1A	100bp	70334654	70334728	0.00026	0.00289	ENSTGUG00000012503	5242	5'flanking	BH3-interacting domain death agonist	BID							
7	50bp	8816284	8816337	0.00102	0.03194	ENSTGUG00000004882	0	intron	Myc box-dependent-interacting protein 1	BIN1	+	+					+
1A	50bp	59289940	59290000	0.00129	0.04804	ENSTGUG00000011632	0	intron	Serine/threonine-protein kinase B-raf	BRAF							
5	100bp	46031896	46032016	0.00002	0.03704	ENSTGUG00000012623	0	CDS	BTB/POZ domain-containing protein 7	BTBD7	+	+					
6	50bp	22320469	22320519	0.02452	0.03275	ENSTGUG00000010007	5107	5'flanking	F-box/WD repeat-containing protein 1A	BTRC	+	+	+				
6	100bp	33263618	33263738	0.00001	0.02872	ENSTGUG00000011471	0	intron	Putative uncharacterized protein C10orf122	C10orf122							
6	50bp	33260122	33260172	0.00058	0.0408	ENSTGUG00000011471	0	intron	Putative uncharacterized protein C10orf122	C10orf122							
11	100bp	4158476	4158585	0.00005	0.03655	ENSTGUG00000004792	1	3'flanking	UPF0406 protein C16orf57	C16orf57	+	+					+
3	50bp	3482572	3482622	0.00001	0.02772	ENSTGUG00000002367	0	CDS,intron	Nuclear nucleic acid-binding protein C1D	C1D	+	+					
1	50bp	3553483	3553521	0.00017	0.00239	ENSTGUG00000005496	0	intron	C2 domain-containing protein 2	C2CD2	+	+					+
3	50bp	99812703	99812753	0.00372	0.04257	ENSTGUG00000013066	0	intron	Uncharacterized protein C2orf50	C2orf50							
4	50bp	3053877	3053930	0.00038	0.03699	ENSTGUG00000001821	0	intron	Calcium/calmodulin-dependent protein kinase type II subunit beta	CAMK2B	+	+					
1A	100bp	51036437	51036537	0.00023	0.02158	ENSTGUG00000010588	6328	5'flanking	Caspase recruitment domain-containing protein 10	CARD10							
7	100bp	22098404	22098504	0.00029	0.03724	ENSTGUG00000010299	3771	5'flanking	Caspase-8	CASP8	+	+					
7	50bp	31021098	31021148	0.00006	0.04501	ENSTGUG00000011578	8241	5'flanking	Coiled-coil domain-containing protein 93	CCDC93	+	+					
1	50bp	103168798	103168847	0.00018	0.0496	ENSTGUG00000013518	4343	3'flanking	T-lymphocyte activation antigen CD80	CD80							
2	50bp	37048814	37048864	0.00048	0.04017	ENSTGUG00000001926	0	intron	Cadherin-10	CDH10	+	+					+
2	50bp	78862070	78862119	0.00004	0.02626	ENSTGUG00000007189	0	intron	Cadherin-18	CDH18	+	+	+				+
2	100bp	110568796	110568894	0.00052	0.0492	ENSTGUG00000010620	0	intron	Cadherin-2	CDH2	+	+			+		+
2	50bp	72566361	72566429	0.00032	0.02099	ENSTGUG00000006350	0	intron	Threonylcarbamoyladenosine tRNA methylthiotransferase	CDKAL1	+	+	+				+
2	50bp	127751775	127751820	0.00452	0.03845	ENSTGUG00000011678	0	intron	Charged multivesicular body protein 4c	CHMP4C							
2	50bp	29712833	29712883	0.00001	0.0332	ENSTGUG00000001731	0	intron	CLIP-associating protein 2	Clasp2	+	+	+				
11	100bp	2305530	2305640	0.00013	0.04914	ENSTGUG00000004472	0	intron	C-Maf-inducing protein	CMIP							
11	50bp	2297308	2297369	0.00622	0.04801	ENSTGUG00000004472	0	intron	C-Maf-inducing protein	CMIP	+	+					+
17	100bp	8579414	8579525	0.00057	0.00565	ENSTGUG00000005847	0	intron	Collagen alpha-1(V) chain	COL5A1	+	+					+
17	50bp	8579414	8579479	0.00013	0.02948	ENSTGUG00000005847	0	intron	Collagen alpha-1(V) chain	COL5A1	+	+					+
17	50bp	8584564	8584613	0.00014	0.03782	ENSTGUG00000005847	0	intron	Collagen alpha-1(V) chain	COL5A1	+	+					+
3	100bp	35537486	35537586	0.00159	0.03437	ENSTGUG00000008626	113	3'flanking	Cysteine-rich motor neuron 1 protein	CRIM1	+	+	+				+
1A	50bp	51273280	51273340	0.00029	0.0496	ENSTGUG00000010656	0	intron	Cytokine receptor common subunit beta	CSF2RB							
6	50bp	18103672	18103722	0.00009	0.02839	ENSTGUG00000008242	5252	3'flanking	Stromal cell-derived factor 1	cxcl12	+	+				+	+
7	100bp	2899220	2899319	0.00027	0.036	ENSTGUG00000003645	514	5'flanking	C-X-C chemokine receptor type 7	CXCR7	+	+				+	+
1A	100bp	51215798	51215908	0.0012	0.02069	ENSTGUG00000010616	0	intron	Cytohesin-4	CYTH4	+						
